index	partner_ccle_id	tissue	filename
1	201T_LUNG	LUNG	01_HELA_CERVIX_x_201T_LUNG.sdrf.tsv
2	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	02_HELA_CERVIX_x_697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.sdrf.tsv
3	42MGBA_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	03_HELA_CERVIX_x_42MGBA_CENTRAL_NERVOUS_SYSTEM.sdrf.tsv
4	451LU_SKIN	SKIN	04_HELA_CERVIX_x_451LU_SKIN.sdrf.tsv
5	AU565_BREAST	BREAST	05_HELA_CERVIX_x_AU565_BREAST.sdrf.tsv
6	C2BBE1_LARGE_INTESTINE	LARGE_INTESTINE	06_HELA_CERVIX_x_C2BBE1_LARGE_INTESTINE.sdrf.tsv
7	A673_BONE	BONE	07_HELA_CERVIX_x_A673_BONE.sdrf.tsv
8	A2780_OVARY	OVARY	08_HELA_CERVIX_x_A2780_OVARY.sdrf.tsv
9	BB30HNC_UPPER_AERODIGESTIVE_TRACT	UPPER_AERODIGESTIVE_TRACT	09_HELA_CERVIX_x_BB30HNC_UPPER_AERODIGESTIVE_TRACT.sdrf.tsv
10	COLO680N_OESOPHAGUS	OESOPHAGUS	10_HELA_CERVIX_x_COLO680N_OESOPHAGUS.sdrf.tsv
11	769P_KIDNEY	KIDNEY	11_HELA_CERVIX_x_769P_KIDNEY.sdrf.tsv
12	BE2M17_AUTONOMIC_GANGLIA	AUTONOMIC_GANGLIA	12_HELA_CERVIX_x_BE2M17_AUTONOMIC_GANGLIA.sdrf.tsv
13	ASPC1_PANCREAS	PANCREAS	13_HELA_CERVIX_x_ASPC1_PANCREAS.sdrf.tsv
14	2313287_STOMACH	STOMACH	14_HELA_CERVIX_x_2313287_STOMACH.sdrf.tsv
15	A204_SOFT_TISSUE	SOFT_TISSUE	15_HELA_CERVIX_x_A204_SOFT_TISSUE.sdrf.tsv
16	CORL321_PLEURA	PLEURA	16_HELA_CERVIX_x_CORL321_PLEURA.sdrf.tsv
17	5637_URINARY_TRACT	URINARY_TRACT	17_HELA_CERVIX_x_5637_URINARY_TRACT.sdrf.tsv
18	C3A_LIVER	LIVER	18_HELA_CERVIX_x_C3A_LIVER.sdrf.tsv
19	8305C_THYROID	THYROID	19_HELA_CERVIX_x_8305C_THYROID.sdrf.tsv
20	AN3CA_ENDOMETRIUM	ENDOMETRIUM	20_HELA_CERVIX_x_AN3CA_ENDOMETRIUM.sdrf.tsv
21	22RV1_PROSTATE	PROSTATE	21_HELA_CERVIX_x_22RV1_PROSTATE.sdrf.tsv
22	ETK1_BILIARY_TRACT	BILIARY_TRACT	22_HELA_CERVIX_x_ETK1_BILIARY_TRACT.sdrf.tsv
23	NCCIT_TESTIS	TESTIS	23_HELA_CERVIX_x_NCCIT_TESTIS.sdrf.tsv
24	CAL39_VULVA	VULVA	24_HELA_CERVIX_x_CAL39_VULVA.sdrf.tsv
25	JAR_PLACENTA	PLACENTA	25_HELA_CERVIX_x_JAR_PLACENTA.sdrf.tsv
26	SW13_ADRENAL_CORTEX	ADRENAL_CORTEX	26_HELA_CERVIX_x_SW13_ADRENAL_CORTEX.sdrf.tsv
27	HS940T_FIBROBLAST	FIBROBLAST	27_HELA_CERVIX_x_HS940T_FIBROBLAST.sdrf.tsv
28	A253_SALIVARY_GLAND	SALIVARY_GLAND	28_HELA_CERVIX_x_A253_SALIVARY_GLAND.sdrf.tsv
29	HUTU80_SMALL_INTESTINE	SMALL_INTESTINE	29_HELA_CERVIX_x_HUTU80_SMALL_INTESTINE.sdrf.tsv
30	A427_LUNG	LUNG	30_HELA_CERVIX_x_A427_LUNG.sdrf.tsv
31	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	31_HELA_CERVIX_x_A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.sdrf.tsv
32	8MGBA_CENTRAL_NERVOUS_SYSTEM	CENTRAL_NERVOUS_SYSTEM	32_HELA_CERVIX_x_8MGBA_CENTRAL_NERVOUS_SYSTEM.sdrf.tsv
33	A2058_SKIN	SKIN	33_HELA_CERVIX_x_A2058_SKIN.sdrf.tsv
34	BT20_BREAST	BREAST	34_HELA_CERVIX_x_BT20_BREAST.sdrf.tsv
35	CAR1_LARGE_INTESTINE	LARGE_INTESTINE	35_HELA_CERVIX_x_CAR1_LARGE_INTESTINE.sdrf.tsv
36	CADOES1_BONE	BONE	36_HELA_CERVIX_x_CADOES1_BONE.sdrf.tsv
37	CAOV3_OVARY	OVARY	37_HELA_CERVIX_x_CAOV3_OVARY.sdrf.tsv
38	BHY_UPPER_AERODIGESTIVE_TRACT	UPPER_AERODIGESTIVE_TRACT	38_HELA_CERVIX_x_BHY_UPPER_AERODIGESTIVE_TRACT.sdrf.tsv
39	ECGI10_OESOPHAGUS	OESOPHAGUS	39_HELA_CERVIX_x_ECGI10_OESOPHAGUS.sdrf.tsv
40	786O_KIDNEY	KIDNEY	40_HELA_CERVIX_x_786O_KIDNEY.sdrf.tsv
